run,step,instantaneous_s_per_it
b64_main_pre_crash,20,24.3
b64_main_pre_crash,30,24.1
b64_main_pre_crash,40,24.2
b64_main_pre_crash,50,24.2
b64_main_pre_crash,60,24.3
b64_main_pre_crash,70,24.3
b64_main_pre_crash,80,24.3
b64_main_pre_crash,90,24.3
b64_main_pre_crash,100,24.3
b64_main_pre_crash,110,25.1
b64_main_pre_crash,120,24.2
b64_main_pre_crash,130,24.3
b64_main_pre_crash,140,24.2
b64_main_pre_crash,150,24.3
b64_main_pre_crash,160,68.3
b64_main_pre_crash,170,66.2
b64_main_pre_crash,180,66.1
b64_main_pre_crash,190,66.0
b64_main_pre_crash,200,66.2
b64_main_pre_crash,210,67.1
b64_main_pre_crash,220,66.1
b64_main_pre_crash,230,66.0
b64_main_pre_crash,240,66.1
b64_main_pre_crash,250,66.1
b64_main_pre_crash,260,70.2
b64_main_pre_crash,270,66.4
b64_main_pre_crash,280,66.4
b64_main_pre_crash,290,66.3
b64_main_pre_crash,300,66.1
b64_main_pre_crash,310,66.2
b64_main_pre_crash,320,66.3
b64_main_pre_crash,330,66.5
b64_main_pre_crash,340,66.3
b64_main_pre_crash,350,66.3
b64_main_pre_crash,360,66.3
b64_main_pre_crash,370,66.3
b64_main_pre_crash,380,66.4
b64_main_pre_crash,390,66.1
b64_main_pre_crash,400,66.2
b64_main_pre_crash,410,66.2
b64_main_pre_crash,420,66.0
b64_main_pre_crash,430,66.3
b64_main_pre_crash,440,66.1
b64_main_pre_crash,450,66.3
b64_main_pre_crash,460,66.2
b64_main_pre_crash,470,66.2
b64_main_pre_crash,480,66.3
b64_main_pre_crash,490,66.1
b64_main_pre_crash,500,66.2
b64_main_pre_crash,510,72.1
b64_main_pre_crash,520,73.6
b64_main_pre_crash,530,83.9
b64_main_pre_crash,540,89.8
b64_main_pre_crash,550,75.3
b64_main_pre_crash,560,66.4
b64_main_pre_crash,570,66.4
b64_main_pre_crash,580,66.5
b64_main_pre_crash,590,66.3
b64_main_pre_crash,600,66.3
b64_main_pre_crash,610,66.3
b64_main_pre_crash,620,66.6
b64_main_pre_crash,630,66.5
b64_main_pre_crash,640,66.5
b64_main_pre_crash,650,66.2
b64_main_pre_crash,660,66.1
b64_main_pre_crash,670,66.4
b64_main_pre_crash,680,66.3
b64_main_pre_crash,690,66.2
b64_main_pre_crash,700,66.1
b64_main_pre_crash,710,66.4
b64_main_pre_crash,720,66.3
b64_main_pre_crash,730,66.3
b64_main_pre_crash,740,66.3
b64_main_pre_crash,750,66.3
b64_main_pre_crash,760,74.3
b64_main_pre_crash,770,70.8
b64_resume,770,66.1
b64_resume,780,66.1
b64_resume,790,66.0
b64_resume,800,66.2
b64_resume,810,66.1
b64_resume,820,66.1
b64_resume,830,66.1
b64_resume,840,66.0
b64_resume,850,66.1
b64_resume,860,66.1
b64_resume,870,66.1
b64_resume,880,66.1
b64_resume,890,66.0
b64_resume,900,66.2
b64_resume,910,66.2
b64_resume,920,65.9
b64_resume,930,66.1
b64_resume,940,66.2
b64_resume,950,66.0
b64_resume,960,65.9
b64_resume,970,66.0
b64_resume,980,66.1
b64_resume,990,66.2
b64_resume,1000,66.2
b64_resume,1010,67.9
b64_resume,1020,66.2
b64_resume,1030,66.3
