run,step,total,t,loss_gen,loss_critic,grad_norm,normalizer,gn_gen,depth,instantaneous_s_per_it
b64_main_pre_crash,10,3000,1955,nan,0.1267,nan,nan,nan,5,
b64_main_pre_crash,20,3000,2198,nan,0.1386,nan,nan,nan,4,24.3
b64_main_pre_crash,30,3000,2439,nan,0.1482,nan,nan,nan,4,24.1
b64_main_pre_crash,40,3000,2681,nan,0.1400,nan,nan,nan,6,24.2
b64_main_pre_crash,50,3000,2923,nan,0.1494,nan,nan,nan,4,24.2
b64_main_pre_crash,60,3000,3166,nan,0.1353,nan,nan,nan,5,24.3
b64_main_pre_crash,70,3000,3409,nan,0.1475,nan,nan,nan,5,24.3
b64_main_pre_crash,80,3000,3652,nan,0.1404,nan,nan,nan,4,24.3
b64_main_pre_crash,90,3000,3895,nan,0.1355,nan,nan,nan,6,24.3
b64_main_pre_crash,100,3000,4138,nan,0.1181,nan,nan,nan,6,24.3
b64_main_pre_crash,110,3000,4389,nan,0.1281,nan,nan,nan,4,25.1
b64_main_pre_crash,120,3000,4631,nan,0.1333,nan,nan,nan,6,24.2
b64_main_pre_crash,130,3000,4874,nan,0.1399,nan,nan,nan,6,24.3
b64_main_pre_crash,140,3000,5116,nan,0.1390,nan,nan,nan,5,24.2
b64_main_pre_crash,150,3000,5359,nan,0.1383,nan,nan,nan,4,24.3
b64_main_pre_crash,160,3000,6042,0.3343,0.1304,820.8,0.200,0.09,6,68.3
b64_main_pre_crash,170,3000,6704,0.3369,0.1188,841.3,0.239,0.06,4,66.2
b64_main_pre_crash,180,3000,7365,0.3346,0.1167,952.3,0.308,0.04,4,66.1
b64_main_pre_crash,190,3000,8025,0.3130,0.1285,838.6,0.241,0.04,6,66.0
b64_main_pre_crash,200,3000,8687,0.3171,0.1217,900.5,0.260,0.03,5,66.2
b64_main_pre_crash,210,3000,9358,0.3027,0.1195,840.2,0.207,0.03,6,67.1
b64_main_pre_crash,220,3000,10019,0.3178,0.1119,942.8,0.243,0.03,6,66.1
b64_main_pre_crash,230,3000,10679,0.3253,0.1123,879.1,0.242,0.03,4,66.0
b64_main_pre_crash,240,3000,11340,0.3493,0.1065,871.3,0.265,0.03,5,66.1
b64_main_pre_crash,250,3000,12001,0.3462,0.0997,860.1,0.212,0.03,6,66.1
b64_main_pre_crash,260,3000,12703,0.3486,0.1175,953.3,0.284,0.03,5,70.2
b64_main_pre_crash,270,3000,13367,0.3254,0.1161,926.4,0.274,0.04,6,66.4
b64_main_pre_crash,280,3000,14031,0.3476,0.1092,912.5,0.231,0.03,6,66.4
b64_main_pre_crash,290,3000,14694,0.3579,0.1197,976.7,0.256,0.03,4,66.3
b64_main_pre_crash,300,3000,15355,0.3244,0.1227,843.2,0.201,0.03,6,66.1
b64_main_pre_crash,310,3000,16017,0.3498,0.1195,921.4,0.216,0.03,5,66.2
b64_main_pre_crash,320,3000,16680,0.3129,0.1252,843.0,0.198,0.03,6,66.3
b64_main_pre_crash,330,3000,17345,0.3269,0.1142,857.8,0.188,0.03,6,66.5
b64_main_pre_crash,340,3000,18008,0.3295,0.1192,903.6,0.222,0.03,4,66.3
b64_main_pre_crash,350,3000,18671,0.3386,0.1263,880.8,0.210,0.04,4,66.3
b64_main_pre_crash,360,3000,19334,0.3358,0.1334,852.1,0.204,0.04,6,66.3
b64_main_pre_crash,370,3000,19997,0.3373,0.1302,847.8,0.174,0.04,6,66.3
b64_main_pre_crash,380,3000,20661,0.3254,0.1265,848.5,0.193,0.04,4,66.4
b64_main_pre_crash,390,3000,21322,0.3191,0.1207,839.5,0.193,0.03,5,66.1
b64_main_pre_crash,400,3000,21984,0.3173,0.1343,798.7,0.161,0.03,4,66.2
b64_main_pre_crash,410,3000,22646,0.3047,0.1278,800.3,0.215,0.03,6,66.2
b64_main_pre_crash,420,3000,23306,0.3116,0.1151,846.0,0.187,0.03,6,66.0
b64_main_pre_crash,430,3000,23969,0.3128,0.1189,802.8,0.220,0.03,4,66.3
b64_main_pre_crash,440,3000,24630,0.3130,0.1183,861.0,0.252,0.03,6,66.1
b64_main_pre_crash,450,3000,25293,0.3247,0.1224,860.9,0.201,0.04,5,66.3
b64_main_pre_crash,460,3000,25955,0.3108,0.1335,818.1,0.223,0.04,5,66.2
b64_main_pre_crash,470,3000,26617,0.3612,0.1231,876.6,0.253,0.04,6,66.2
b64_main_pre_crash,480,3000,27280,0.3477,0.1129,858.1,0.190,0.03,5,66.3
